source,raw_candidate,keep,reject_reason,clip_start_s,clip_end_s,duration_s,fallen_start_s,fallen_end_s,upright_start_s,upright_end_s,upright_duration_s,pre_speed_median,pre_speed_max,post_speed_median,post_speed_max
fallAndGetUp2_subject2_whole_body.npz,1,1,,14.540,17.460,2.920,7.380,15.040,16.960,20.040,3.080,0.3604,0.3942,0.1471,0.2767
fallAndGetUp2_subject2_whole_body.npz,2,1,,29.320,33.920,4.600,24.300,29.820,33.420,35.440,2.020,0.2856,0.2991,0.1124,0.2311
fallAndGetUp2_subject2_whole_body.npz,3,1,,41.980,45.020,3.040,37.260,42.480,44.520,46.660,2.140,0.2522,0.4786,0.1938,0.3116
fallAndGetUp2_subject2_whole_body.npz,4,1,,50.600,52.640,2.040,47.540,51.100,52.140,55.860,3.720,0.2776,0.3254,0.1829,0.2164
fallAndGetUp2_subject2_whole_body.npz,5,0,post_speed_median>0.5;post_speed_max>0.8,59.640,62.540,2.900,57.380,60.140,62.040,66.160,4.120,0.1188,0.1551,0.6305,0.8077
fallAndGetUp2_subject2_whole_body.npz,6,0,post_speed_median>0.5;post_speed_max>0.8,69.740,72.520,2.780,67.880,70.240,72.020,76.380,4.360,0.1628,0.3117,0.7857,0.8569
fallAndGetUp2_subject2_whole_body.npz,7,0,post_speed_median>0.5,86.980,89.680,2.700,77.460,87.480,89.180,92.060,2.880,0.2874,0.3041,0.6826,0.7382
fallAndGetUp2_subject2_whole_body.npz,8,0,post_speed_max>0.8,115.360,118.600,3.240,110.720,115.860,118.100,121.800,3.700,0.0787,0.2350,0.4527,1.0801
fallAndGetUp2_subject2_whole_body.npz,9,0,upright<1s,126.640,129.660,3.020,124.020,127.140,129.160,129.720,0.560,0.0538,0.1025,0.3156,0.7652
fallAndGetUp2_subject2_whole_body.npz,10,0,post_speed_median>0.5;post_speed_max>0.8,133.980,136.180,2.200,131.180,134.480,135.680,136.920,1.240,0.1837,0.2260,3.1351,3.5051
fallAndGetUp2_subject2_whole_body.npz,11,0,upright<1s;post_speed_median>0.5;post_speed_max>0.8,141.300,143.560,2.260,138.580,141.800,143.060,143.800,0.740,0.3760,0.5002,3.2743,3.6261
fallAndGetUp2_subject2_whole_body.npz,12,0,post_speed_median>0.5;post_speed_max>0.8,152.080,154.700,2.620,150.740,152.580,154.200,156.220,2.020,0.0487,0.2329,2.9604,3.2731
fallAndGetUp2_subject2_whole_body.npz,13,0,post_speed_median>0.5;post_speed_max>0.8,157.960,160.620,2.660,157.860,158.460,160.120,163.860,3.740,0.4604,0.6125,2.6910,2.9072
