source,raw_candidate,keep,reject_reason,clip_start_s,clip_end_s,duration_s,fallen_start_s,fallen_end_s,upright_start_s,upright_end_s,upright_duration_s,pre_speed_median,pre_speed_max,post_speed_median,post_speed_max
fallAndGetUp1_subject5_whole_body.npz,1,0,upright<1.5s;post_speed_median>0.5;post_speed_max>0.8,25.320,27.580,2.260,24.360,25.820,26.820,27.760,0.940,0.1502,0.2510,2.8708,3.0228
fallAndGetUp1_subject5_whole_body.npz,2,0,upright<1.5s;post_speed_median>0.5;post_speed_max>0.8,29.180,31.700,2.520,28.900,29.680,30.980,31.700,0.720,0.2363,0.3923,2.8436,3.0129
fallAndGetUp1_subject5_whole_body.npz,3,0,post_speed_median>0.5;post_speed_max>0.8,33.320,35.840,2.520,32.300,33.820,35.080,36.620,1.540,0.1056,0.3492,2.2944,2.4383
fallAndGetUp1_subject5_whole_body.npz,4,0,post_speed_median>0.5;post_speed_max>0.8,50.520,52.820,2.300,48.860,51.020,52.060,53.720,1.660,0.1756,0.2403,1.5480,1.7807
fallAndGetUp1_subject5_whole_body.npz,5,1,,56.160,58.840,2.680,54.320,56.660,58.080,59.960,1.880,0.1880,0.2817,0.4171,0.5341
fallAndGetUp1_subject5_whole_body.npz,6,0,post_speed_median>0.5;post_speed_max>0.8,61.980,65.020,3.040,60.460,62.480,64.260,66.780,2.520,0.1919,0.5698,2.2291,2.5079
fallAndGetUp1_subject5_whole_body.npz,7,1,,70.200,72.200,2.000,67.580,70.700,71.440,74.740,3.300,0.3751,0.4558,0.0500,0.0579
fallAndGetUp1_subject5_whole_body.npz,8,1,,83.960,86.940,2.980,83.180,84.460,86.180,96.140,9.960,0.1585,0.1812,0.3328,0.3727
fallAndGetUp1_subject5_whole_body.npz,9,0,upright<1.5s;post_speed_median>0.5;post_speed_max>0.8,99.460,103.080,3.620,97.020,99.960,102.320,103.620,1.300,0.2303,0.5383,0.6959,0.9341
fallAndGetUp1_subject5_whole_body.npz,10,1,,110.920,113.780,2.860,109.520,111.420,113.020,115.000,1.980,0.1178,0.1349,0.4739,0.6733
fallAndGetUp1_subject5_whole_body.npz,11,0,post_speed_median>0.5;post_speed_max>0.8,116.800,119.320,2.520,115.820,117.300,118.560,120.600,2.040,0.2782,0.3380,1.6805,1.9880
fallAndGetUp1_subject5_whole_body.npz,12,1,,131.160,133.180,2.020,127.920,131.660,132.420,135.440,3.020,0.4702,0.5414,0.4061,0.5327
fallAndGetUp1_subject5_whole_body.npz,13,0,post_speed_median>0.5;post_speed_max>0.8,142.960,145.000,2.040,141.460,143.460,144.240,146.980,2.740,0.1674,0.2446,1.7987,1.9379
fallAndGetUp1_subject5_whole_body.npz,14,0,post_speed_median>0.5;post_speed_max>0.8,149.460,152.220,2.760,147.980,149.960,151.460,154.440,2.980,0.1759,0.2283,1.5609,1.5882
fallAndGetUp1_subject5_whole_body.npz,15,0,post_speed_median>0.5;post_speed_max>0.8,157.120,159.280,2.160,156.400,157.620,158.520,161.100,2.580,0.4955,0.5372,1.6946,1.7903
fallAndGetUp1_subject5_whole_body.npz,16,1,,164.580,167.020,2.440,163.660,165.080,166.260,168.160,1.900,0.4959,0.5284,0.2846,0.3407
fallAndGetUp2_subject3_whole_body.npz,1,1,,13.120,17.780,4.660,5.860,13.620,17.020,19.180,2.160,0.0859,0.1012,0.1020,0.1700
fallAndGetUp2_subject3_whole_body.npz,2,1,,31.300,33.140,1.840,31.020,31.800,32.380,35.140,2.760,0.4431,0.5653,0.1945,0.2507
fallAndGetUp2_subject3_whole_body.npz,3,1,,41.120,42.860,1.740,35.900,41.620,42.100,46.520,4.420,0.1996,0.3510,0.1046,0.1535
fallAndGetUp2_subject3_whole_body.npz,4,1,,52.520,54.200,1.680,47.580,53.020,53.440,56.500,3.060,0.2609,0.3786,0.4768,0.5464
fallAndGetUp2_subject3_whole_body.npz,5,0,pre_speed_max>0.7,61.520,63.600,2.080,57.380,62.020,62.840,64.960,2.120,0.3308,0.8799,0.3635,0.4723
fallAndGetUp2_subject3_whole_body.npz,6,1,,69.380,71.820,2.440,65.780,69.880,71.060,73.440,2.380,0.1431,0.6565,0.2504,0.5447
fallAndGetUp2_subject3_whole_body.npz,7,0,pre_speed_max>0.7,77.260,79.440,2.180,74.620,77.760,78.680,81.100,2.420,0.2459,0.9852,0.3383,0.5796
fallAndGetUp2_subject3_whole_body.npz,8,0,post_speed_median>0.5,85.160,86.840,1.680,84.740,85.660,86.080,89.040,2.960,0.2245,0.3448,0.5816,0.7118
fallAndGetUp2_subject3_whole_body.npz,9,0,post_speed_median>0.5,96.640,99.040,2.400,90.640,97.140,98.280,102.520,4.240,0.5210,0.6549,0.6569,0.7200
fallAndGetUp2_subject3_whole_body.npz,10,0,post_speed_median>0.5;post_speed_max>0.8,109.340,113.340,4.000,105.260,109.840,112.580,117.660,5.080,0.4601,0.5918,0.9859,1.1120
fallAndGetUp2_subject3_whole_body.npz,11,0,post_speed_median>0.5;post_speed_max>0.8,124.200,128.160,3.960,119.980,124.700,127.400,131.640,4.240,0.1304,0.3163,0.7131,0.8189
fallAndGetUp2_subject3_whole_body.npz,12,1,,140.160,143.660,3.500,132.360,140.660,142.900,147.800,4.900,0.1349,0.2765,0.4923,0.6937
fallAndGetUp2_subject3_whole_body.npz,13,0,post_speed_median>0.5,156.020,160.360,4.340,149.300,156.520,159.600,161.380,1.780,0.0995,0.2053,0.5795,0.6932
fallAndGetUp3_subject1_whole_body.npz,1,0,pre_speed_max>0.7,35.800,37.620,1.820,35.520,36.300,36.860,39.860,3.000,0.2983,0.7073,0.3398,0.4791
fallAndGetUp3_subject1_whole_body.npz,2,1,,40.820,42.680,1.860,40.360,41.320,41.920,44.180,2.260,0.3207,0.4067,0.1115,0.2005
fallAndGetUp3_subject1_whole_body.npz,3,0,pre_speed_max>0.7,54.080,56.220,2.140,54.060,54.580,55.460,64.540,9.080,0.4103,0.7827,0.2576,0.3837
fallAndGetUp3_subject1_whole_body.npz,4,0,post_speed_median>0.5;post_speed_max>0.8,67.740,69.840,2.100,65.580,68.240,69.080,72.060,2.980,0.2846,0.3979,0.9755,1.0896
fallAndGetUp3_subject1_whole_body.npz,5,0,post_speed_median>0.5;post_speed_max>0.8,74.880,76.860,1.980,73.280,75.380,76.100,79.320,3.220,0.1983,0.2855,1.0110,1.0974
fallAndGetUp3_subject1_whole_body.npz,6,0,post_speed_median>0.5;post_speed_max>0.8,82.400,84.600,2.200,81.060,82.900,83.840,87.860,4.020,0.0831,0.4192,1.0196,1.1164
fallAndGetUp3_subject1_whole_body.npz,7,0,post_speed_median>0.5;post_speed_max>0.8,90.560,92.420,1.860,88.960,91.060,91.660,102.100,10.440,0.1817,0.2057,1.1675,1.3284
